Inventory Part,Make,Model,Inventory Desc,Serial #,(Unit No)
D-PED,R82,Crocodile Orange - Size 2,HME Demo - Pediatric Equipment,5116381,D-04490
D-PED,R82 INC,XPANDA SHAPE - Infant Size,HME Demo - Pediatric Equipment,822288,D-04501
D-PED,R82 INC,MEERKAT -SIZE1,HME Demo - Pediatric Equipment,426351,D-04502
D-PED,INVACARE,NXT Tilt Wheelchair - 14x16,HME Demo - Pediatric Equipment,NXT45623,D-04503
D-PED,Ki MOBILITY,Little Wave Arc - Blue - 12x14,HME Demo - Pediatric Equipment,LWA0000550,D-04507
D-PED,Ki MOBILITY,Spark Wheelchair - 12x13,HME Demo - Pediatric Equipment,C5S0005394,D-04508
D-PED,Ki Mobility,ROGUE XPE,HME Demo - Pediatric Equipment,RGXP007908,D-02158
D-PED,Wenzwelite,Medium,HME Demo - Pediatric Equipment,4S1505272204,D-02002
D-PED,Convaid,High Low Size 2,HME Demo - Pediatric Equipment,354259,D-02003
D-PED,Pride,Go Chair 12X12,HME Demo - Pediatric Equipment,D-00166,D-00166
WC01,Motion Composites,"Move Manual Wheelchair,18x18",Move Aluminum Wheelchair,183041,
WC01,Motion Composites,"Move Manual Wheelchair,18x18",Move Aluminum Wheelchair,183042,
WC01,Motion Composites,"Move Manual Wheelchair,18x18",Move Aluminum Wheelchair,183043,
WC01,Motion Composites,"Move Manual Wheelchair,18x18",Move Aluminum Wheelchair,183044,
WC01,Motion Composites,"Move Manual Wheelchair,18x18",Move Aluminum Wheelchair,183137,
WC01,Motion Composites,"Move Manual Wheelchair,16x16",Move Aluminum Wheelchair,182854,
WC01,Motion Composites,"Move Manual Wheelchair,20x20",Move Aluminum Wheelchair,182822,
WC01,Motion Composites,"Move Manual Wheelchair,20x20",Move Aluminum Wheelchair,182823,
WC01,Motion Composites,"Move Manual Wheelchair,20x18",Move Aluminum Wheelchair,186070,
WC01,Motion Composites,Move Aluminum Wheelchair 16 x18,Move Aluminum Wheelchair,12894,
WC01,Motion Composites,"Move Manual Wheelchair,16x16",Move Aluminum Wheelchair,170337,
WC01,Motion Composites,"Move Manual Wheelchair,16x16",Move Aluminum Wheelchair,170342,
WC01,Motion Composites,"Move Manual Wheelchair,16x16",Move Aluminum Wheelchair,170340,
WC01,Motion Composites,Ultra Light Move Wheelchair 20x20,Move Aluminum Wheelchair,171476,
WC01,Motion Composites,Ultralight Move Wheelchair Aluminum - 18x20,Move Aluminum Wheelchair,173566,
WC01,Motion Composites,Ultralight Move Wheelchair Aluminum - 18x20,Move Aluminum Wheelchair,173565,
WC01,Motion Composites,Ultralight Move Wheelchair Aluminum - 18x20,Move Aluminum Wheelchair,173569,
WC01,Motion Composites,Ultralight Move Wheelchair Aluminum - 18x20,Move Aluminum Wheelchair,173560,
WC01,Motion Composites,Ultralight Move Wheelchair Aluminum - 20x18,Move Aluminum Wheelchair,173670,
WC01,Motion Composites,Ultralight Move Wheelchair Aluminum - 20x18,Move Aluminum Wheelchair,173671,
WC01,Motion Composites,Ultralight Move Wheelchair Aluminum-16x18,Move Aluminum Wheelchair,170572,
WC01,Motion Composites,Ultralight Move Wheelchair Aluminum-16x18,Move Aluminum Wheelchair,170670,
WC01,Motion Composites,Ultralight Move Wheelchair Aluminum-16x18,Move Aluminum Wheelchair,169939,
WC01,Motion Composites,Ultralight Move Wheelchair Aluminum-16x18,Move Aluminum Wheelchair,169943,
WC01,Motion Compisites,Move Aluminum Wheelchair 18x18 - Black,Move Aluminum Wheelchair,149919,
WC01,Motion Composites,Move 16 x 20 Ferrari Red,Move Aluminum Wheelchair,137170,
WC01,Motion Composites,MOVE HD 18x20 - Black,Move Aluminum Wheelchair,168177,
WC01,Motion Composites,Move 16x18,Move Aluminum Wheelchair,154266,
WC01,Motion Composites,Move Aluminum Wheelchair - 16x18,Move Aluminum Wheelchair,174601,
WC01,Motion Composites,Move Aluminum Wheelchair,Move Aluminum Wheelchair,164997,
WC01,Motion Composites,MOve Aluminum Wheelchair 20x20,Move Aluminum Wheelchair,171484,
WC01,Motion Composites,Move,Move Aluminum Wheelchair,112905,
WC01,Motion Composites,Move Aluminum Wheelchair -18x18 -  BLACK,Move Aluminum Wheelchair,185730,
WC01,Motion Composites,Move Aluminum Wheelchair - 16x16 - BLACK,Move Aluminum Wheelchair,185190,
WC01,Motion Composites,Move Aluminum Wheelchair,Move Aluminum Wheelchair,128290,
WC01,Motion Composites,move Aluminum Wheelchair - 18x16,Move Aluminum Wheelchair,151755,
WC01,Motion Composites,Move Aluminum Wheelchair,Move Aluminum Wheelchair,168875,
WC01,Motion Composite,Move Aluminum Wheelchair - 20x20,Move Aluminum Wheelchair,147923,
WC01,Motion Composites,Ultra Light Move Wheelchair 20x20,Move Aluminum Wheelchair,171447,
WC01,Motion Composites,Ultralight Move Wheelchair Aluminum-18x18,Move Aluminum Wheelchair,171998,
WC01,Motion Composites,Ultralight Move Wheelchair Aluminum-18x18,Move Aluminum Wheelchair,171704,
WC01,Motion Composites,Ultralight Move Wheelchair Aluminum-16x16,Move Aluminum Wheelchair,173561,
WC01,Motion Composites,Ultralight Move Wheelchair Aluminum-16x16,Move Aluminum Wheelchair,173558,
WC01,Motion Composites,Move Aluminum Wheelchair - 18x16,Move Aluminum Wheelchair,167839,
WC01,Motion Composites,Move Aluminum Wheelchair - 18x16,Move Aluminum Wheelchair,173306,
WC01,Motion Composites,Move Aluminum Wheelchair - 22x18,Move Aluminum Wheelchair,178088,
WC01,Motion Composites,Move Aluminum Wheelchair-22x20,Move Aluminum Wheelchair,178193,
WC01,Motion Composites,Move Aluminum Wheelchair 18 x 18,Move Aluminum Wheelchair,128313,
WC01,Motion,Move WC 16x18,Move Aluminum Wheelchair,123939,
WC01,Motion Composites,Move Aluminum Wheelchair 18x18,Move Aluminum Wheelchair,127722,
WC01,Motion Composites,Move Aluminum Wheelchair - 18x20,Move Aluminum Wheelchair,150181,
WC01,Motion Composites,move Aluminum Wheelchair 18 x 18,Move Aluminum Wheelchair,130423,
WC01,Motion Composites,Move Aluminum Wheelchair 18 x 18,Move Aluminum Wheelchair,128358,
WC01,Motion Composites,move Aluminum WC,Move Aluminum Wheelchair,118912,
WC01,Motion Composites,Move Aluminum Wheelchair - 18 x 20,Move Aluminum Wheelchair,144541,
WC01,Motion Composites,Move Aluminum Wheelchair - 18 x 18,Move Aluminum Wheelchair,145549,
WC01,Motion Composites,Move Aluminum Wheelchair,Move Aluminum Wheelchair,161149,
WC01,Motion Composites,Move Aluminum Wheelchair 16x20,Move Aluminum Wheelchair,164170,
WC01,Motion Composites,Move Aluminum Wheelchair 20 x 18 - Black,Move Aluminum Wheelchair,143120,
WC01,Motion Composites,Move Aluminum Wheelchair 18 x 18,Move Aluminum Wheelchair,128279,
WC01,Motion Composites,Move Aluminum Wheelchair - 22x20,Move Aluminum Wheelchair,128033,
WC01,Motion Composites,move Aluminum Wheelchair - 18x18,Move Aluminum Wheelchair,142616,
WC01,Motion Composites,Move Aluminum Wheelchair,Move Aluminum Wheelchair,162884,
WC01,Motion Composites,FR-MV017469,Move Aluminum Wheelchair,169369,
WC01,Motion Composites,Ultralight Move Wheelchair Aluminum-16x16,Move Aluminum Wheelchair,170457,
WC01,Motion Composites,Ultralight Move Wheelchair Aluminum-18x18,Move Aluminum Wheelchair,171703,
WC01,Motion Composites,Ultralight Move Wheelchair Aluminum-18x18,Move Aluminum Wheelchair,172001,
D-PED,Physipro,Resolve Physipro 12x12,HME Demo - Pediatric Equipment,D-03645,D-03645
D-PED,,,HME Demo - Pediatric Equipment,D-02265,
D-PED,,,HME Demo - Pediatric Equipment,D-02195,
D-PED,Rifton,HTS,HME Demo - Pediatric Equipment,HME-03009,
D-PED,,,HME Demo - Pediatric Equipment,Z12020191205AC,
D-PED,,,HME Demo - Pediatric Equipment,BC10526,
D-PED,Permbol,Rifton Pacer Mini,HME Demo - Pediatric Equipment,HME-00404,HME-00404
D-PED,,,HME Demo - Pediatric Equipment,D-02034,
D-PED,Leckey,Squiggles Plus,HME Demo - Pediatric Equipment,LEC/224187,HME-01091
D-PED,Rifton,Rifton pacer - Small,HME Demo - Pediatric Equipment,K62020190607AC,D-03614
D-PED,Lighthouse,KLIP 4-Wheel Posterior Gati trainer With Seat - me,HME Demo - Pediatric Equipment,530202107030,D-03615
D-PED,,,HME Demo - Pediatric Equipment,BC9692,
D-PED,,,HME Demo - Pediatric Equipment,BC8873,
D-PED,,,HME Demo - Pediatric Equipment,D02112,
D-PED,Sunrise,ZIPPIE X'CAPE WHEEL CHAIR,HME Demo - Pediatric Equipment,FZ1-011758,D-03628
D-PED,Synetik,VERTIFLEX A2,HME Demo - Pediatric Equipment,200083502,D-03618
D-PED,Adaptive Star,Axiom adaptive Star Stroller,HME Demo - Pediatric Equipment,D-03619,D-03619
D-PED,Permobil,Kidwalk - Green ( Small ),HME Demo - Pediatric Equipment,55740,D-03632
D-PED,Permobil,Kidwalk II - Candy Blue - Large,HME Demo - Pediatric Equipment,55742,D-03634
D-PED,Ki Mobilty,ACS2 AxiomCS Cushion,HME Demo - Pediatric Equipment,D-03636,D-03636
D-PED,Convaid,EZ Rider EZ 18,HME Demo - Pediatric Equipment,2600000002001,
D-PED,Solu Medical,SM1070 - Two Cylinders attachable by zipper body s,HME Demo - Pediatric Equipment,SM1070,D-03639
D-PED,R82,Crocodile Gait Trainer Size 3,HME Demo - Pediatric Equipment,5099155,D-03650
D-PED,Sunrise,Zippie Voyage VIP,HME Demo - Pediatric Equipment,ZV18-004248,D-03709
D-PED,Adaptive Star,Axiom improv 3  Navy Push Chair,HME Demo - Pediatric Equipment,D-03707,D-03707
D-PED,Rifton,Activity Chair Medium,HME Demo - Pediatric Equipment,R85020211214AO,D-03711
D-PED,Special Tomato,Special Tomato Soft Sitter - Size 1,HME Demo - Pediatric Equipment,D-03713,D-03713
D-PED,Permobil,Rifton wave tub stand,HME Demo - Pediatric Equipment,Z21720220804AA,D-03715
D-PED,HME DEMO,PED Equipment,HME Demo - Pediatric Equipment,18261500rw1603528,D-03439
D-PED,R82 INC.,Meerkat - Size 1,HME Demo - Pediatric Equipment,475430,D-03722
D-PED,Sunrise,Mygo Stander Package Size1 - Blue,HME Demo - Pediatric Equipment,LEC-320745,D-03879
D-PED,Ki Mobility,Hip-Flex Seat Cushion - AQAUA,HME Demo - Pediatric Equipment,ST-72060304,D-03845
D-PED,Adaptive Star,Axiom Lassen 2,HME Demo - Pediatric Equipment,D-03877,D-03877
D-PED,Physipro,Bumblebee Cushion - 12x12,HME Demo - Pediatric Equipment,D-03850,D-03850
D-PED,Physipro,Bumblebee Cushion - 12x12,HME Demo - Pediatric Equipment,D-03852,D-03852
D-PED,Physipro,Bumblebee Cushion - 12x12,HME Demo - Pediatric Equipment,D-03853,D-03853
D-PED,Convaid,TR14 Trekker Base Standard,HME Demo - Pediatric Equipment,2600017604001,D-03860
D-PED,Blake,Zentury Foam Cushion - 14 x 1 4,HME Demo - Pediatric Equipment,D-03861,D-03861
D-PED,Drive,BCWL-7310M - Wrap Around Bath Cupport Lo-Back - Me,HME Demo - Pediatric Equipment,2022105VC460338,D-03869
D-PED,R82,Crocodile Base - Size 0,HME Demo - Pediatric Equipment,5103703,D-03917
D-PED,R82,Crocodile Base Size 1 - Yellow,HME Demo - Pediatric Equipment,5113033,D-03951
D-PED,,,HME Demo - Pediatric Equipment,K62020230914AK,
D-PED,Motion Concepts,ROVI A3 Power Chair,HME Demo - Pediatric Equipment,1WN30D41A0093,D-04052
D-PED,Motion Concepts,PS-MINI1414 - Matrx PS Cushion,HME Demo - Pediatric Equipment,D-04053,D-04053
D-PED,Motion Concepts,MINI1410 - Matrx Mini Backrest,HME Demo - Pediatric Equipment,D-04054,D-04054
D-PED,Invacare,"HME DEMO - eFix E35 24"" , 6AH",HME Demo - Pediatric Equipment,E35225077,D-04059
D-PED,Drive,TZ-A4960S - Padded Reducer Ring - Small,HME Demo - Pediatric Equipment,D-44061,D-44061
D-PED,Motion Concepts,TDX-SP2 Base Power Chair,HME Demo - Pediatric Equipment,23HE000495,D-04062
D-PED,Perrmobil,K614 - Rifton Pacer Mini - Standard,HME Demo - Pediatric Equipment,K61020240122AA,D-04489
D-PED,Convaid,Carrot Size 3,HME Demo - Pediatric Equipment,CT3001045,D-02056
D-PED,Convaid,Carrot 3,HME Demo - Pediatric Equipment,CT3001743,D-00045
D-PED,Keekaroo,Height Right,HME Demo - Pediatric Equipment,D-02006,D-02006
D-PED,Keekaroo,Height Right,HME Demo - Pediatric Equipment,D-02027,D-02027
D-PED,Invacare,16x16,HME Demo - Pediatric Equipment,16GM016726,D-02011
D-PED,CanDan,Miniwalk,HME Demo - Pediatric Equipment,150131,D-02067
D-PED,Convaid,Pony Size 2,HME Demo - Pediatric Equipment,ART no.86412,D-02069
D-PED,Rifton,Wave with stand,HME Demo - Pediatric Equipment,E518 20160315AB,D-02078
D-PED,Zippie,Voyage,HME Demo - Pediatric Equipment,BBSTR2008056,D-02098
D-PED,Sunrise,PAL Classroom seat GREEN size 3,HME Demo - Pediatric Equipment,LEC234169,D-03252
D-PED,Firefly,Scoot 4-in-1,HME Demo - Pediatric Equipment,LEC/304827,D-02254
D-PED,Permobil,Arm Support ( Pair ) For Rift,HME Demo - Pediatric Equipment,D-02253,
D-PED,,,HME Demo - Pediatric Equipment,D-02085,
D-PED,,,HME Demo - Pediatric Equipment,D-02264,
D-PED,,,HME Demo - Pediatric Equipment,D-02263,
D-PED,,,HME Demo - Pediatric Equipment,D-02070,
D-PED,,,HME Demo - Pediatric Equipment,D-02077,
D-PED,,,HME Demo - Pediatric Equipment,D-02090,
D-PED,,,HME Demo - Pediatric Equipment,BC8779,
D-PED,,,HME Demo - Pediatric Equipment,D-03380,
D-PED,,,HME Demo - Pediatric Equipment,D-02032,
D-PED,,,HME Demo - Pediatric Equipment,D-02089,
D-PED,,,HME Demo - Pediatric Equipment,D-02042,
D-PED,R82,Gazelle,HME Demo - Pediatric Equipment,D-00183,
D-PED,,,HME Demo - Pediatric Equipment,D-02016,
D-PED,,,HME Demo - Pediatric Equipment,D-02020,
D-PED,,,HME Demo - Pediatric Equipment,D-02012,
D-PED,,,HME Demo - Pediatric Equipment,BC1081,
D-PED,,,HME Demo - Pediatric Equipment,D-02007,
D-PED,,,HME Demo - Pediatric Equipment,D-02018,
D-PED,,,HME Demo - Pediatric Equipment,D-02046,
D-PED,,,HME Demo - Pediatric Equipment,BC9973,
D-PED,Lekey,SleepForm,HME Demo - Pediatric Equipment,D-03682,D-03682
D-PED,,,HME Demo - Pediatric Equipment,D-03586,D-03586
D-PED,Inspired,CSS-2400M-RR-Car Seat - Neon Green,HME Demo - Pediatric Equipment,2023025VB290176,D-03918
D-PED,Sunrise,Zippie Sphynx,HME Demo - Pediatric Equipment,ZS22-013686,D-03958
D-PED,HOGGI,Bingo Evolution,HME Demo - Pediatric Equipment,202297553,D-04043
D-PED,Ki Mobility,Tyke for XPanda,HME Demo - Pediatric Equipment,TYK0000670,D-04063
D-PED,Quantum,Q6 Edge 3,HME Demo - Pediatric Equipment,18220P.007703,D-02045
D-PED,Physipro,Bumblebee Cushion - 12x14,HME Demo - Pediatric Equipment,D-03856,D-03856
D-PED,Metro,12,HME Demo - Pediatric Equipment,ME12T-00279,D-02036
D-PED,Rifton,HTS Medium,HME Demo - Pediatric Equipment,Z12020200319AH,D-02087
D-PED,Freedom Concepts,DCP16 Tricycle,HME Demo - Pediatric Equipment,2160208-D,
D-PED,R82,Kids Potty Frame,HME Demo - Pediatric Equipment,(01)05707292834294(11)200610(10)9293455,D-02162
D-PED,Permobil,Kidwalk - Red ( Medium ),HME Demo - Pediatric Equipment,55741,D-03633
